class,property,score
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/numberOfTracks,0.129734592
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/passengersPerDay,0.002850238
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/passengersPerYear,0.086926837
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/previousInfrastructure,9.75E-05
http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/subsequentInfrastructure,0.000151724
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/associatedAct,0.001624498
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/field,0.087686545
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/instrument,0.255034127
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/movement,0.046467928
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/training,0.052117303
http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/voiceType,0.00112745
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Building/floorArea,0.047042079
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/floorArea,0.047042079
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/floorCount,0.072284467
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/seatingCapacity,0.003053417
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/structuralSystem,0.002335681
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/damage,0.000315669
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/duration,0.000697102
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/endDate,0.006681661
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/followingEvent,0.065646004
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/nextEvent,0.055662971
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/previousEvent,0.116126741
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/startDate,0.136276947
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/assetUnderManagement,0.002820191
http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/assets,0.050336144
